Title,Link,posturl,Date,Claim,Label,Image
Protesters in Iran did not set fire to Ayatollah Khamenei’s billboards after Trump was elected.,https://www.sochfactcheck.com/category/world/,https://www.sochfactcheck.com/image-of-soldier-pointing-gun-at-pti-protesters-is-ai-generated/,2024-11-29 00:00:00,"Claim: A video shows Iranian protesters, emboldened by US President-elect Donald Trump’s victory, setting fire to billboards of Ayatollah Khamenei in dissent.  Fact: The viral video is from protests in 2022 after the death of Mahsa Amini at the hands of Iran’s morality police.  On 22 May 2024, a user on X (formerly Twitter) posted a video (archive) of a crowd of people running around a billboard that had caught fire. In the video, crowds can be seen throwing more items at the fire, and recording it while cheering and shouting. The post is captioned, “A billboard of Ayatollah Ali […]",False,https://www.sochfactcheck.com/wp-content/uploads/2024/11/Iran-1-1.jpg
Did Pakistan Army chief respectfully touch Saudi Crown Prince’s knees?,https://www.sochfactcheck.com/category/pakistan/,https://www.sochfactcheck.com/image-of-soldier-pointing-gun-at-pti-protesters-is-ai-generated/,2024-11-29 00:00:00,"Claim: Pakistan Army Chief Gen Asim Munir got up from his seat to touch the knees of Saudi Crown Prince Mohammed bin Salman out of respect, according to a viral video Fact: The video is AI-generated and a real picture was likely animated to create the clip. AI and manipulation detection tools also indicated the same. On 7 November 2024, TikTok user @mpervez2924 posted (archive) a video showing Pakistan Army Chief Gen Syed Asim Munir getting up from his seat to touch the knees of Saudi Arabian Crown Prince Mohammed bin Salman, also known as MBS, apparently in reverence. The […]",Misleading,https://www.sochfactcheck.com/wp-content/uploads/2024/11/Pak_Army_chief_MBS_knees_main.jpg
"No, Israeli Prime Minister Benjamin Netanyahu has not been hospitalised.",https://www.sochfactcheck.com/category/world/,https://www.sochfactcheck.com/image-of-soldier-pointing-gun-at-pti-protesters-is-ai-generated/,2024-11-29 00:00:00,"Claim: Prime Minister Benjamin Netanyahu has been hospitalised in Tel Aviv after suffering from serious health issues. Fact: Netanyahu has not been ill nor hospitalised.  On 18 November 2024, a user on X posted an image (archive) of Israeli Prime Minister Benjamin Netanyahu lying unconscious in the hospital with an oxygen mask on. The post is captioned: “BREAKING NETANYAHU HOSPITALISED  He suffered serious health issue in Kiryah and has been shifted to a hospital in Tel Aviv. Archive Pic”.    Fact or Fiction? A keyword search found that no mainstream news outlet had reported on the claim. There have […]",Misleading,https://www.sochfactcheck.com/wp-content/uploads/2024/11/Isreal-3.jpg
Viral video of apparent PTI protesters is actually from East Timor.,https://www.sochfactcheck.com/category/pakistan/,https://www.sochfactcheck.com/image-of-soldier-pointing-gun-at-pti-protesters-is-ai-generated/,2024-11-29 00:00:00,"Claim: A video shows thousands of Pakistan Tehreek-e-Insaf (PTI) protesters marching towards Islamabad.  Fact: The video actually shows supporters of Pope Francis welcoming him to East Timor.  On 25 November 2024, a user on X (formerly Twitter) posted a video (archive) of a convoy of protesters heading towards Islamabad. The post is captioned, “BREAKING: #PakistanArmy cancels all #Soldiers’ leave as lakhs of PTI supporters march towards Islamabad against Shehbaz Sharif’s regime and Gen. #AsimMunir. Another massacre by Pakistan Army seems imminent.”    PTI Protests  On 26 November 2024, thousands of supporters of former Prime Minister Imran Khan gathered in Pakistan’s […]",True,https://www.sochfactcheck.com/wp-content/uploads/2024/11/Pak-army.jpg
US politician Alexandria Ocasio-Cortez did not say ceasefire means someone ‘sees a fire’,https://www.sochfactcheck.com/category/world/,https://www.sochfactcheck.com/image-of-soldier-pointing-gun-at-pti-protesters-is-ai-generated/,2024-11-29 00:00:00,"Claim: Alexandria Ocasio-Cortez defines the term ceasefire as an incident when someone “sees a fire”, which “could be a big fire or a small fire, a bonfire or even a candle flame”. Fact: The video is not authentic. A snippet from AOC’s real October 2023 livestream on Instagram has been doctored using altered audio. On 16 November 2024, X (formerly Twitter) user @TrollsByDennis posted (archive) a video of US Democratic lawmaker Alexandria Ocasio-Cortez, often known as just AOC, with the following caption: “Should Trump make @AOC  the Secretary of Big Bootie Latinas? Be honest” In the viral video clip, which […]",Misleading,https://www.sochfactcheck.com/wp-content/uploads/2024/11/AOC_ceasefire_meaning_main.jpg
"Imane Khelif’s gold medal not revoked, nor lifetime ban imposed on Algerian boxer",https://www.sochfactcheck.com/category/sports/,https://www.sochfactcheck.com/image-of-soldier-pointing-gun-at-pti-protesters-is-ai-generated/,2024-11-29 00:00:00,"Claim: The World Boxing Organization (WBO) has “revoked” Imane Khelif’s gold medal after confirming that she “is male” and that the Olympic boxing athlete now “faces a lifetime ban”. Fact: The boxing body has made no such announcement, it confirmed in a statement. Furthermore, Imane Khelif is a cisgender woman. On 11 October 2024, Threads user @ctupramod claimed (archive) that Algerian boxing star Imane Khelif “faces a lifetime ban after the WBO confirmed she is male and revoked her gold medal”. @ctupramod, who attached pictures of Khelif in their post, wrote: “‘GOODBYE OLYMPIC LIAR’ Imane Khelif, The Controversial Gender Identity […]",Misleading,https://www.sochfactcheck.com/wp-content/uploads/2024/11/Imane_Khelif_medal_stripped_lifetime_ban_main.jpg
Oxford University did not reject Imran Khan’s Chancellor bid for being ‘against Israel’,https://www.sochfactcheck.com/category/pakistan/,https://www.sochfactcheck.com/image-of-soldier-pointing-gun-at-pti-protesters-is-ai-generated/,2024-11-29 00:00:00,"Claim: The University of Oxford rejected Imran Khan’s application of candidacy in the Chancellor election following a request by the Government of Pakistan, citing his stance “against Israel and in favor of Palestine”, him being “a supporter of Taliban”, and his wish to implement Shariah law in the country as its reasons. Fact: Oxford University did not post such a statement on its X account. A spokesperson confirmed the same to Soch Fact Check. On 21 October 2024, Facebook user ‘Aftab Alikhan’ shared (archive) a screenshot of an X (formerly Twitter) post apparently from the University of Oxford, detailing the […]",Misleading,https://www.sochfactcheck.com/wp-content/uploads/2024/11/IK_Oxford_rejection_tweet_main.jpg
No evidence Trump shared Imran Khan’s picture to garner support for 2024 US elections,https://www.sochfactcheck.com/category/pakistan/,https://www.sochfactcheck.com/image-of-soldier-pointing-gun-at-pti-protesters-is-ai-generated/,2024-11-29 00:00:00,"Claim: Donald Trump shared a picture of himself shaking hands with Imran Khan on X and said, “We, Imran Khan and I, can bring peace to the world [so] come support us.” Fact: There’s no evidence for this claim. The X post in question was published by @Trump47thPOTUS, an account that has now been suspended. Trump never posted such an image on his official X account. On 6 November 2024, Facebook page ‘IK Tigers’ posted (archive) a visual comprising a graphic of US President-elect Donald Trump shaking hands with ex-prime minister and founder of the Pakistan Tehreek-e-Insaf (PTI), Imran Khan. […]",Misleading,https://www.sochfactcheck.com/wp-content/uploads/2024/11/Trump_tweet_IK_pic_peace_main.jpg
Street vendors earning more than people with ‘regular jobs’?,https://www.sochfactcheck.com/category/business/,https://www.sochfactcheck.com/image-of-soldier-pointing-gun-at-pti-protesters-is-ai-generated/,2024-11-29 00:00:00,"Claim: A study shows that street vendors in Pakistan earn more than people with ‘regular jobs’.   Fact: The claim is false as the study it refers to does not make any comparison between the income of street vendors and that of people with more regulated or formal employment.   Between 21 and 24 October 2024, a spate of posts went viral on social media, including Facebook, Instagram, TikTok, and X (formerly Twitter), claiming that a study has found that street vendors earn more on average than people with ‘regular jobs’ in Pakistan. These posts did not clearly indicate what […]",Misleading,https://www.sochfactcheck.com/wp-content/uploads/2024/11/Street-Vendors-1.jpg
Video does not show Punjab’s education minister assaulting a couple,https://www.sochfactcheck.com/category/culture/,https://www.sochfactcheck.com/image-of-soldier-pointing-gun-at-pti-protesters-is-ai-generated/,2024-11-29 00:00:00,"Claim: A video shows Punjab’s Education Minister Rana Sikander Hayat assaulting a couple following the alleged incident of a student’s sexual assault at a private college in Lahore. Fact: The claim is false as the video does not show Rana Sikander Hayat. The individual in the video can be identified as Usman Mirza, who assaulted a couple at gunpoint on 6 July 2021 in Islamabad. He was later sentenced to life imprisonment in 2022. [Content warning: This fact-check contains mention of sexual assault.] On 17 October 2024, an Indian account on X (formerly Twitter) by the name Jitendra Partap Singh […]",Misleading,https://www.sochfactcheck.com/wp-content/uploads/2024/11/rana-sikander-fc.png
